Afghanistan,95
Afrique du Sud,48
Albanie,52
Algérie,65
Allemagne,12
Andorre,20
Angola,72
Arabie Saoudite,55
Argentine,50
Australie,10
Autriche,14
Bahamas,45
Belgique,12
Bénin,60
Birmanie (Myanmar),92
Brésil,54
Bulgarie,40
Burkina Faso,75
Cambodge,78
Cameroun,70
Canada,10
Chili,25
Chine,62
Chypre,35
Colombie,55
Corée du Nord,98
Corée du Sud,18
Côte d’Ivoire,58
Croatie,32
Danemark,5
Égypte,68
Émirats Arabes Unis,42
Espagne,15
Estonie,8
États-Unis,18
Finlande,5
France,12
Gabon,65
Ghana,45
Grèce,35
Guinée,74
Haïti,85
Hong Kong,22
Hongrie,48
Îles Caïmans,38
Îles Vierges Britanniques,42
Inde,55
Indonésie,50
Iran,95
Irlande,14
Islande,10
Israël,25
Italie,28
Japon,12
Jordanie,52
Kazakhstan,58
Kenya,65
Koweït,50
Liban,82
Luxembourg,15
Madagascar,68
Malaisie,45
Mali,80
Malte,38
Maroc,52
Maurice,30
Mexique,58
Monaco,25
Népal,64
Nicaragua,78
Nigeria,72
Norvège,5
Nouvelle-Zélande,5
Oman,45
Ouganda,68
Ouzbékistan,62
Pakistan,75
Panama,65
Pays-Bas,12
Pérou,52
Philippines,58
Pologne,30
Portugal,18
Qatar,35
République Démocratique du Congo,90
Roumanie,38
Royaume-Uni,12
Russie,85
Sénégal,48
Seychelles,40
Singapour,8
Slovaquie,32
Somalie,95
Soudan,90
Suède,8
Suisse,15
Syrie,95
Taïwan,15
Tchad,82
Thaïlande,55
Tunisie,50
Turquie,62
Ukraine,65
Uruguay,22
Venezuela,92
Vietnam,68
Yémen,92
Zimbabwe,78
