Afghanistan,10
Afrique du Sud,5
Albanie,5
Algérie,7
Allemagne,1
Andorre,2
Angola,7
Arabie Saoudite,6
Argentine,5
Australie,1
Autriche,1
Bahamas,5
Belgique,1
Bénin,6
Birmanie (Myanmar),9
Brésil,5
Bulgarie,4
Burkina Faso,8
Cambodge,8
Cameroun,7
Canada,1
Chili,3
Chine,6
Chypre,4
Colombie,6
Corée du Nord,10
Corée du Sud,2
Côte d’Ivoire,6
Croatie,3
Danemark,1
Égypte,7
Émirats Arabes Unis,4
Espagne,2
Estonie,1
États-Unis,2
Finlande,1
France,1
Gabon,7
Ghana,5
Grèce,4
Guinée,7
Haïti,9
Hong Kong,2
Hongrie,5
Îles Caïmans,4
Îles Vierges Britanniques,4
Inde,6
Indonésie,5
Iran,10
Irlande,1
Islande,1
Israël,3
Italie,3
Japon,1
Jordanie,5
Kazakhstan,6
Kenya,7
Koweït,5
Liban,8
Luxembourg,2
Madagascar,7
Malaisie,5
Mali,8
Malte,4
Maroc,5
Maurice,3
Mexique,6
Monaco,3
Népal,6
